Description,InvoiceMonth,TotalPrice
SET 2 TEA TOWELS I LOVE LONDON,2010-09-01,461.5
SET 2 TEA TOWELS I LOVE LONDON,2010-10-01,1272.0
SET 2 TEA TOWELS I LOVE LONDON,2010-11-01,837.8
SET 2 TEA TOWELS I LOVE LONDON,2010-12-01,1256.7
SET 2 TEA TOWELS I LOVE LONDON,2011-01-01,1110.15
SET 2 TEA TOWELS I LOVE LONDON,2011-02-01,603.1
SET 2 TEA TOWELS I LOVE LONDON,2011-03-01,2683.55
SET 2 TEA TOWELS I LOVE LONDON,2011-04-01,994.7
SET 2 TEA TOWELS I LOVE LONDON,2011-05-01,888.05
SET 2 TEA TOWELS I LOVE LONDON,2011-06-01,171.25
SPACEBOY BABY GIFT SET,2011-03-01,2111.1
SPACEBOY BABY GIFT SET,2011-04-01,680.85
SPACEBOY BABY GIFT SET,2011-05-01,753.6
SPACEBOY BABY GIFT SET,2011-06-01,518.4
SPACEBOY BABY GIFT SET,2011-07-01,339.0
SPACEBOY BABY GIFT SET,2011-08-01,242.25
SPACEBOY BABY GIFT SET,2011-09-01,770.55
SPACEBOY BABY GIFT SET,2011-10-01,838.35
SPACEBOY BABY GIFT SET,2011-11-01,692.75
SPACEBOY BABY GIFT SET,2011-12-01,118.65
WHITE CHERRY LIGHTS,2009-12-01,6069.9
WHITE CHERRY LIGHTS,2010-01-01,2718.75
WHITE CHERRY LIGHTS,2010-02-01,2205.75
WHITE CHERRY LIGHTS,2010-03-01,608.4
WHITE CHERRY LIGHTS,2010-04-01,94.5
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2009-12-01,42.9
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-01-01,792.0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-02-01,157.32
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-03-01,314.7
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-04-01,152.1
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-05-01,614.4
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-06-01,2123.1
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-07-01,1320.6
