Description,InvoiceMonth,TotalPrice,Year,Month,prev_month_sales,rolling_3m_avg,sales_delta,is_holiday_month
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-01-01,792.0,2010,1,42.9,417.45,374.55,1
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-02-01,157.32,2010,2,792.0,330.74,-173.42000000000002,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-03-01,314.7,2010,3,157.32,421.34,-106.63999999999999,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-04-01,152.1,2010,4,314.7,208.04,-55.94,1
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-05-01,614.4,2010,5,152.1,360.3999999999999,254.00000000000006,1
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-06-01,2123.1,2010,6,614.4,963.1999999999999,1159.9,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-07-01,1320.6,2010,7,2123.1,1352.7,-32.100000000000136,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-08-01,756.2,2010,8,1320.6,1399.9666666666665,-643.7666666666664,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-09-01,326.4,2010,9,756.2,801.0666666666667,-474.66666666666674,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-10-01,101.4,2010,10,326.4,394.6666666666667,-293.26666666666665,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-11-01,191.1,2010,11,101.4,206.29999999999998,-15.199999999999989,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-12-01,234.1,2010,12,191.1,175.53333333333333,58.56666666666666,1
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-01-01,240.6,2011,1,234.1,221.9333333333333,18.666666666666686,1
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-02-01,167.1,2011,2,240.6,213.9333333333333,-46.833333333333314,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-03-01,234.0,2011,3,167.1,213.9,20.099999999999994,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-04-01,624.9,2011,4,234.0,342.0,282.9,1
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-05-01,392.7,2011,5,624.9,417.2,-24.5,1
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-06-01,855.0,2011,6,392.7,624.1999999999999,230.80000000000007,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-07-01,661.25,2011,7,855.0,636.3166666666667,24.93333333333328,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-08-01,287.4,2011,8,661.25,601.2166666666667,-313.8166666666667,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-09-01,651.6,2011,9,287.4,533.4166666666666,118.1833333333334,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-10-01,236.7,2011,10,651.6,391.90000000000003,-155.20000000000005,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-11-01,255.55,2011,11,236.7,381.2833333333333,-125.73333333333329,0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-12-01,31.2,2011,12,255.55,174.48333333333335,-143.28333333333336,1
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-01-01,235.95,2010,1,944.1,590.025,-354.075,1
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-02-01,303.6,2010,2,235.95,494.55,-190.95,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-03-01,679.05,2010,3,303.6,406.2,272.84999999999997,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-04-01,274.95,2010,4,679.05,419.2,-144.25,1
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-05-01,424.8,2010,5,274.95,459.59999999999997,-34.799999999999955,1
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-06-01,541.2,2010,6,424.8,413.65000000000003,127.55000000000001,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-07-01,547.95,2010,7,541.2,504.65000000000003,43.30000000000001,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-08-01,293.4,2010,8,547.95,460.8500000000001,-167.4500000000001,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-09-01,617.1,2010,9,293.4,486.15000000000003,130.95,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-10-01,676.2,2010,10,617.1,528.9,147.30000000000007,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-11-01,1099.65,2010,11,676.2,797.6500000000001,302.0,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-12-01,1769.4,2010,12,1099.65,1181.75,587.6500000000001,1
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-01-01,351.75,2011,1,1769.4,1073.6000000000001,-721.8500000000001,1
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-02-01,893.85,2011,2,351.75,1005.0,-111.14999999999998,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-03-01,513.75,2011,3,893.85,586.4499999999999,-72.69999999999993,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-04-01,486.0,2011,4,513.75,631.1999999999999,-145.19999999999993,1
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-05-01,525.6,2011,5,486.0,508.45,17.150000000000034,1
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-06-01,817.5,2011,6,525.6,609.6999999999999,207.80000000000007,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-07-01,415.8,2011,7,817.5,586.3,-170.49999999999994,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-08-01,368.7,2011,8,415.8,534.0,-165.3,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-09-01,779.12,2011,9,368.7,521.2066666666666,257.9133333333334,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-10-01,773.72,2011,10,779.12,640.5133333333333,133.2066666666667,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-11-01,1349.58,2011,11,773.72,967.4733333333334,382.10666666666657,0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-12-01,106.4,2011,12,1349.58,743.2333333333335,-636.8333333333335,1
10 COLOUR SPACEBOY PEN,2010-06-01,605.18,2010,6,660.43,632.805,-27.625,0
10 COLOUR SPACEBOY PEN,2010-07-01,536.33,2010,7,605.18,600.6466666666666,-64.3166666666666,0
10 COLOUR SPACEBOY PEN,2010-08-01,279.65,2010,8,536.33,473.71999999999997,-194.07,0
10 COLOUR SPACEBOY PEN,2010-09-01,589.88,2010,9,279.65,468.62000000000006,121.25999999999993,0
10 COLOUR SPACEBOY PEN,2010-10-01,929.05,2010,10,589.88,599.5266666666666,329.5233333333333,0
10 COLOUR SPACEBOY PEN,2010-11-01,1070.11,2010,11,929.05,863.0133333333333,207.09666666666658,0
10 COLOUR SPACEBOY PEN,2010-12-01,796.45,2010,12,1070.11,931.8699999999999,-135.41999999999985,1
10 COLOUR SPACEBOY PEN,2011-01-01,234.6,2011,1,796.45,700.3866666666667,-465.78666666666663,1
10 COLOUR SPACEBOY PEN,2011-02-01,183.6,2011,2,234.6,404.88333333333327,-221.28333333333327,0
10 COLOUR SPACEBOY PEN,2011-03-01,346.8,2011,3,183.6,255.0,91.80000000000001,0
