Description,total_quantity,total_sales
DOTCOM POSTAGE,489,129143.87
REGENCY CAKESTAND 3 TIER,8260,104728.70000000004
WHITE HANGING HEART T-LIGHT HOLDER,37448,103183.47000000018
PARTY BUNTING,10506,53493.67999999997
ASSORTED COLOUR BIRD ORNAMENT,23695,39337.820000000065
POSTAGE,1545,33837.490000000005
PAPER CHAIN KIT 50'S CHRISTMAS,9467,31959.980000000007
CHILLI LIGHTS,5997,28875.16000000001
JUMBO BAG RED RETROSPOT,14727,28067.369999999988
BLACK RECORD COVER FRAME,7235,25138.749999999996
HOT WATER BOTTLE TEA AND SYMPATHY,4756,25052.39000000001
WOOD BLACK BOARD ANT WHITE FINISH,4404,24258.040000000005
CREAM HEART CARD HOLDER,8021,23659.850000000002
RED WOOLLY HOTTIE WHITE HEART.,5657,23295.270000000004
CHOCOLATE HOT WATER BOTTLE,4068,22730.94
SCOTTIE DOG HOT WATER BOTTLE,4042,21493.960000000017
EDWARDIAN PARASOL NATURAL,4456,20688.330000000005
RED HANGING HEART T-LIGHT HOLDER,7083,20183.40999999999
EDWARDIAN PARASOL BLACK,4458,20093.980000000018
VINTAGE UNION JACK MEMOBOARD,2824,19835.739999999994
VINTAGE UNION JACK BUNTING,2237,19269.29
WHITE SKULL HOT WATER BOTTLE,3332,17928.6
JUMBO STORAGE BAG SUKI,8480,17787.90000000001
HEART OF WICKER LARGE,5807,17598.329999999984
STRAWBERRY CERAMIC TRINKET BOX,13546,17548.420000000002
JUMBO  BAG BAROQUE BLACK WHITE,9184,17535.890000000007
JUMBO BAG STRAWBERRY,9568,17467.850000000002
HOME BUILDING BLOCK WORD,2788,17342.479999999992
HEART OF WICKER SMALL,9515,17114.51000000001
ROTATING SILVER ANGELS T-LIGHT HLDR,-12392,16682.670000000006
KNITTED UNION FLAG HOT WATER BOTTLE,3588,16613.19
VICTORIAN GLASS HANGING T-LIGHT,11919,15770.860000000002
ROUND SNACK BOXES SET OF 4 FRUITS,5788,15644.389999999996
EDWARDIAN PARASOL RED,3623,15510.290000000005
BLACK HEART CARD HOLDER,5871,14942.87
RED TOADSTOOL LED NIGHT LIGHT,8986,14765.460000000003
JUMBO SHOPPER VINTAGE RED PAISLEY,6811,14597.650000000007
WOODEN FRAME ANTIQUE WHITE,4674,14530.069999999987
JUMBO BAG RED WHITE SPOTTY,8142,14428.359999999991
WOODEN PICTURE FRAME WHITE FINISH,5973,14417.879999999997
GIN + TONIC DIET METAL SIGN,7152,14417.08
SMALL POPCORN HOLDER,16692,13813.639999999998
LUNCH BAG  BLACK SKULL.,7854,13483.780000000002
RED RETROSPOT CAKE STAND,1209,13459.57999999999
ROUND SNACK BOXES SET OF4 WOODLAND,4549,13342.189999999997
WOOD S/3 CABINET ANT WHITE FINISH,1702,13334.23000000001
DOOR MAT UNION FLAG,2078,13214.429999999973
NATURAL SLATE HEART CHALKBOARD,4256,13117.59999999999
ANTIQUE SILVER TEA GLASS ETCHED,9284,12999.87
CHARLOTTE BAG SUKI DESIGN,7871,12800.730000000001
PLEASE ONE PERSON METAL SIGN,6318,12780.279999999992
ALARM CLOCK BAKELIKE RED,3337,12662.82
LOVE BUILDING BLOCK WORD,2028,12576.239999999989
TEA TIME CAKE STAND IN GIFT BOX,1186,12503.119999999995
CREAM SWEETHEART MINI CHEST,994,12502.3
LUNCH BAG WOODLAND,6890,12139.960000000003
WOODEN ROUNDERS GARDEN SET,1370,12057.390000000001
JAM MAKING SET WITH JARS,2743,11912.51
RABBIT NIGHT LIGHT,5429,11897.579999999993
JUMBO BAG PINK VINTAGE PAISLEY,6061,11867.710000000006
LUNCH BAG RED RETROSPOT,6320,11781.77000000001
RED  HARMONICA IN BOX,10248,11757.420000000004
DOORMAT RED RETROSPOT,1630,11702.640000000005
BAKING SET 9 PIECE RETROSPOT,2300,11681.93999999999
KENSINGTON COFFEE SET,1385,11631.010000000002
LUNCH BAG CARS BLUE,6446,11273.750000000004
PAPER CHAIN KIT EMPIRE,3930,11045.509999999995
SET/5 RED SPOTTY LID GLASS BOWLS,3983,10976.229999999983
PAPER CHAIN KIT VINTAGE CHRISTMAS,3378,10939.279999999993
FAIRY CAKE FLANNEL ASSORTED COLOUR,4691,10788.7
VICTORIAN SEWING BOX LARGE,726,10748.61
PICNIC BASKET WICKER LARGE,1030,10714.720000000001
JUMBO BAG WOODLAND ANIMALS,5013,10629.440000000004
HAND OVER THE CHOCOLATE   SIGN,5421,10559.029999999999
BOX OF VINTAGE ALPHABET BLOCKS,1092,10415.009999999997
COOK WITH WINE METAL SIGN,5369,10398.510000000006
WOODEN CROQUET GARDEN SET,870,10374.93
HANGING JAM JAR T-LIGHT HOLDER,12773,10270.639999999998
COLOUR GLASS. STAR T-LIGHT HOLDER,3442,10157.84
LUNCH BAG RED SPOTTY,6336,10055.540000000005
PAPER BUNTING WHITE LACE,3404,9963.200000000003
SET/4 WHITE RETRO STORAGE CUBES,241,9881.46
WOOD 2 DRAWER CABINET WHITE FINISH,1742,9841.240000000005
RED/WHITE DOTS RUFFLED UMBRELLA,2516,9832.310000000001
PACK OF 72 RETROSPOT CAKE CASES,15969,9707.629999999992
DOORMAT HEARTS,1429,9637.370000000004
BLUE HAPPY BIRTHDAY BUNTING,1922,9588.22
PAPER BUNTING RETROSPOT,3133,9563.729999999998
PAPER CHAIN KIT RETRO SPOT,3493,9536.08999999999
ASSORTED COLOURS SILK FAN,12865,9511.160000000003
PINK HAPPY BIRTHDAY BUNTING,1849,9489.329999999996
RED RETROSPOT JUMBO BAG,5349,9425.109999999999
JUMBO BAG SCANDINAVIAN PAISLEY,5233,9392.600000000002
60 TEATIME FAIRY CAKE CASES,18582,9382.119999999999
GUMBALL COAT RACK,3940,9365.489999999998
JAM MAKING SET PRINTED,6042,9355.120000000006
PACK OF 60 PINK PAISLEY CAKE CASES,18625,9250.330000000004
RECYCLING BAG RETROSPOT,4111,9248.690000000002
WHITE CHERRY LIGHTS,1527,9213.29
PACK OF 72 RETRO SPOT CAKE CASES,18438,9207.59999999998
SET 7 BABUSHKA NESTING BOXES,1181,9203.140000000001
FAWN BLUE HOT WATER BOTTLE,2742,9175.899999999998
HANGING HEART JAR T-LIGHT HOLDER,7127,9149.890000000001
RETRO SPOT CAKE STAND,820,9121.179999999997
DOORMAT UNION FLAG,1231,9115.430000000002
COLOUR GLASS T-LIGHT HOLDER HANGING,14579,9107.490000000005
JUMBO BAG PINK POLKADOT,4457,9076.690000000008
JUMBO BAG OWLS,4775,9075.93
WOODLAND CHARLOTTE BAG,7717,8942.78
ROSES REGENCY TEACUP AND SAUCER,2904,8915.479999999992
RETRO SPOT TEA SET CERAMIC 11 PC,1805,8878.189999999995
LUNCH BOX I LOVE LONDON,4860,8802.260000000007
SPACEBOY LUNCH BOX,4774,8762.150000000007
PINK HEART SHAPE EGG FRYING PAN,6140,8743.670000000002
WOODEN UNION JACK BUNTING,1391,8728.409999999998
CLOTHES PEGS RETROSPOT PACK 24,6392,8658.520000000006
TEA TIME TEA TOWELS,3463,8602.800000000001
HOT BATHS METAL SIGN,3942,8580.080000000005
CLASSIC METAL BIRDCAGE PLANT HOLDER,812,8560.65
HAND WARMER BIRD DESIGN,3912,8506.169999999996
BLACK/BLUE DOTS RUFFLED UMBRELLA,2295,8468.949999999995
JUMBO STORAGE BAG SKULLS,4112,8455.460000000003
GRAND CHOCOLATECANDLE,5887,8441.949999999995
CERAMIC CAKE STAND + HANGING CAKES,880,8367.030000000002
SPOTTY BUNTING,1718,8298.580000000002
LUNCH BAG SUKI  DESIGN,5090,8248.740000000003
PICNIC BASKET WICKER SMALL,1474,8213.260000000002
TEA TIME PARTY BUNTING,1158,8191.499999999998
PINK 3 PIECE MINI DOTS CUTLERY SET,2259,8169.919999999998
GREEN REGENCY TEACUP AND SAUCER,2545,8158.009999999997
WORLD WAR 2 GLIDERS ASSTD DESIGNS,36731,8151.9000000000015
DOORMAT FAIRY CAKE,1154,8132.359999999997
6 RIBBONS RUSTIC CHARM,4451,8109.309999999998
SET OF 3 CAKE TINS PANTRY DESIGN,1592,8080.320000000001
RED RETROSPOT PICNIC BAG,2795,8061.969999999998
WHITE METAL LANTERN,2132,8011.820000000001
HEART FILIGREE DOVE  SMALL,6422,8005.720000000002
RECIPE BOX PANTRY YELLOW DESIGN,2478,7972.350000000003
HANGING HEART ZINC T-LIGHT HOLDER,9490,7969.310000000006
PAPER BUNTING RETRO SPOTS,2767,7957.559999999992
LADIES & GENTLEMEN METAL SIGN,3292,7912.169999999995
CREAM CUPID HEARTS COAT HANGER,2512,7897.240000000001
GREY HEART HOT WATER BOTTLE,2095,7892.799999999999
METAL SIGN TAKE IT OR LEAVE IT,2788,7822.720000000003
WOODEN SKITTLES GARDEN SET,596,7787.1699999999955
ZINC METAL HEART DECORATION,6264,7778.260000000003
SWEETHEART CERAMIC TRINKET BOX,6093,7775.63
LARGE CAKE STAND  HANGING STRAWBERY,1000,7765.730000000001
DOOR MAT NEW ENGLAND,1208,7765.139999999998
JUMBO BAG SPACEBOY DESIGN,4137,7750.840000000001
DOORMAT KEEP CALM AND COME IN,1108,7733.679999999995
SMALL GLASS HEART TRINKET POT,3444,7723.62
LUNCH BAG SPACEBOY DESIGN,4526,7714.320000000003
RED SPOT HEART HOT WATER BOTTLE,1600,7675.980000000001
HOT WATER BOTTLE I AM SO POORLY,1312,7643.499999999999
RED SPOTTY BISCUIT TIN,1904,7632.389999999999
JUMBO BAG TOYS,3809,7575.280000000001
ALARM CLOCK BAKELIKE GREEN,1807,7570.109999999999
HOT WATER BOTTLE BABUSHKA,1560,7501.010000000001
RETROSPOT HEART HOT WATER BOTTLE,1406,7427.219999999996
RED 3 PIECE MINI DOTS CUTLERY SET,2047,7413.049999999999
SET OF 6 SPICE TINS PANTRY DESIGN,1842,7403.280000000003
PLASTERS IN TIN SPACEBOY,4606,7382.810000000003
MINI PAINT SET VINTAGE,12054,7380.140000000003
GROW A FLYTRAP OR SUNFLOWER IN TIN,6765,7320.740000000002
CHICK GREY HOT WATER BOTTLE,1848,7294.660000000003
CHOCOLATE THIS WAY METAL SIGN,3621,7231.360000000001
SET OF 3 COLOURED  FLYING DUCKS,1358,7192.049999999997
3 HOOK PHOTO SHELF ANTIQUE WHITE,902,7143.190000000001
VINTAGE HEADS AND TAILS CARD GAME,5845,7099.109999999999
DOORMAT NEW ENGLAND,977,7077.850000000005
FELTCRAFT 6 FLOWER FRIENDS,3204,7051.139999999999
SILVER HANGING T-LIGHT HOLDER,4451,7026.259999999999
HAND WARMER BABUSHKA DESIGN,4857,6997.590000000004
ASSORTED COLOUR MINI CASES,966,6994.230000000002
JUMBO BAG APPLES,3498,6912.840000000006
SET OF 20 KIDS COOKIE CUTTERS,3272,6837.390000000002
RED SPOTTY COIR DOORMAT,1052,6811.8399999999965
RED RETROSPOT CHARLOTTE BAG,4915,6803.72
DOORMAT FANCY FONT HOME SWEET HOME,864,6763.100000000003
NO SINGING METAL SIGN,3261,6695.420000000005
HOMEMADE JAM SCENTED CANDLES,4477,6683.980000000008
ALARM CLOCK BAKELIKE PINK,1719,6658.110000000001
IVORY KITCHEN SCALES,749,6656.700000000001
SINGLE HEART ZINC T-LIGHT HOLDER,6644,6623.250000000004
MEMO BOARD RETROSPOT  DESIGN,1386,6562.499999999999
PACK OF 72 SKULL CAKE CASES,12273,6491.400000000001
PLASTERS IN TIN WOODLAND ANIMALS,3881,6468.499999999997
BLUE 3 PIECE MINI DOTS CUTLERY SET,1778,6413.549999999999
DOLLY GIRL LUNCH BOX,3367,6345.300000000005
STRAWBERRY CHARLOTTE BAG,5675,6335.84
